"REGION","ONSET_DATE"
"b","2013-08-12"
"b","2013-08-18"
"b","2013-08-22"
"b","2013-08-23"
"b","2013-08-25"
"b","2013-08-26"
"b","2013-08-26"
"b","2013-08-28"
"b","2013-08-29"
"b","2013-09-02"
"b","2013-09-02"
"b","2013-09-06"
"b","2013-09-09"
"b","2013-09-09"
"b","2013-09-11"
"b","2013-09-12"
"b","2013-09-13"
"b","2013-09-21"
"b","2014-07-27"
"b","2014-08-01"
"b","2014-08-02"
"b","2014-08-09"
"b","2014-08-11"
"b","2014-08-15"
"b","2014-08-16"
"b","2014-08-24"
"b","2014-08-24"
"b","2014-08-31"
"b","2014-09-11"
"b","2014-09-12"
"b","2014-09-13"
"b","2014-09-15"
"b","2014-09-18"
"b","2014-09-21"
"b","2014-09-21"
"b","2015-06-30"
"b","2015-07-23"
"b","2015-07-25"
"b","2015-07-27"
"b","2015-07-27"
"b","2015-07-31"
"b","2015-08-02"
"b","2015-08-03"
"b","2015-08-04"
"b","2015-08-07"
"b","2015-08-09"
"b","2015-08-09"
"b","2015-08-13"
"b","2015-08-14"
"b","2015-08-16"
"b","2015-08-18"
"b","2015-08-22"
"b","2015-08-24"
"b","2015-08-24"
"b","2015-08-26"
"b","2015-08-27"
"b","2015-08-28"
"b","2015-08-30"
"b","2015-09-01"
"b","2015-09-02"
"b","2015-09-03"
"b","2015-09-05"
"b","2015-09-11"
"b","2015-09-18"
"b","2015-09-18"
"b","2015-09-24"
"b","2015-09-24"
"b","2015-10-01"
"b","2016-06-23"
"b","2016-07-11"
"b","2016-07-13"
"b","2016-07-21"
"b","2016-07-21"
"b","2016-07-22"
"b","2016-07-25"
"b","2016-07-27"
"b","2016-07-31"
"b","2016-08-01"
"b","2016-08-03"
"b","2016-08-04"
"b","2016-08-07"
"b","2016-08-09"
"b","2016-08-11"
"b","2016-08-13"
"b","2016-08-13"
"b","2016-08-15"
"b","2016-08-16"
"b","2016-08-18"
"b","2016-08-25"
"b","2016-08-26"
"b","2016-08-28"
"b","2016-08-29"
"b","2016-08-31"
"b","2016-08-31"
"b","2016-09-02"
"b","2016-09-05"
"b","2016-09-14"
"b","2016-09-23"
"b","2016-09-27"
"b","2017-07-24"
"b","2017-07-26"
"b","2017-07-26"
"b","2017-08-01"
"b","2017-08-02"
"b","2017-08-04"
"b","2017-08-07"
"b","2017-08-09"
"b","2017-08-09"
"b","2017-08-09"
"b","2017-08-13"
"b","2017-08-13"
"b","2017-08-13"
"b","2017-08-17"
"b","2017-08-18"
"b","2017-08-18"
"b","2017-08-18"
"b","2017-08-19"
"b","2017-08-20"
"b","2017-08-20"
"b","2017-08-22"
"b","2017-08-22"
"b","2017-08-24"
"b","2017-08-24"
"b","2017-08-25"
"b","2017-08-26"
"b","2017-08-30"
"b","2017-08-31"
"b","2017-09-01"
"b","2017-09-02"
"b","2017-09-04"
"b","2017-09-04"
"b","2017-09-13"
"b","2017-09-18"
"b","2017-09-18"
"b","2017-09-25"
"b","2017-09-30"
"b","2017-10-01"
"b","2017-10-03"
"b","2018-07-09"
"b","2018-07-22"
"b","2018-07-26"
"b","2018-07-26"
"b","2018-07-31"
"b","2018-08-02"
"b","2018-08-03"
"b","2018-08-04"
"b","2018-08-05"
"b","2018-08-06"
"b","2018-08-07"
"b","2018-08-08"
"b","2018-08-08"
"b","2018-08-12"
"b","2018-08-12"
"b","2018-08-13"
"b","2018-08-16"
"b","2018-08-17"
"b","2018-08-18"
"b","2018-08-19"
"b","2018-08-21"
"b","2018-08-21"
"b","2018-08-21"
"b","2018-08-22"
"b","2018-08-23"
"b","2018-08-25"
"b","2018-08-27"
"b","2018-08-28"
"b","2018-08-28"
"b","2018-08-30"
"b","2018-09-01"
"b","2018-09-01"
"b","2018-09-03"
"b","2018-09-03"
"b","2018-09-06"
"b","2018-09-08"
"b","2018-09-22"
"b","2018-09-25"
"b","2019-07-02"
"b","2019-07-04"
"b","2019-07-13"
"b","2019-07-30"
"b","2019-08-02"
"b","2019-08-02"
"b","2019-08-04"
"b","2019-08-05"
"b","2019-08-14"
"b","2019-08-17"
"b","2019-08-17"
"b","2019-08-17"
"b","2019-08-18"
"b","2019-08-19"
"b","2019-08-22"
"b","2019-08-24"
"b","2019-08-25"
"b","2019-08-30"
"b","2019-09-01"
"b","2019-09-04"
"b","2019-09-05"
"b","2019-09-08"
"b","2019-09-08"
"b","2019-09-10"
"b","2019-09-20"
"b","2019-09-26"
"b","2019-09-27"
"b","2019-09-30"
"b","2020-07-22"
"b","2020-08-03"
"b","2020-08-05"
"b","2020-08-09"
"b","2020-08-10"
"b","2020-08-14"
"b","2020-08-16"
"b","2020-08-17"
"b","2020-08-19"
"b","2020-08-19"
"b","2020-08-19"
"b","2020-08-21"
"b","2020-08-25"
"b","2020-08-26"
"b","2020-08-27"
"b","2020-08-29"
"b","2020-08-29"
"b","2020-08-31"
"b","2020-09-01"
"b","2020-09-02"
"b","2020-09-06"
"b","2020-09-09"
"b","2020-09-11"
"b","2020-09-11"
"b","2020-09-13"
"b","2020-09-16"
"b","2020-09-26"
"b","2021-07-07"
"b","2021-07-10"
"b","2021-07-22"
"b","2021-07-26"
"b","2021-08-03"
"b","2021-08-04"
"b","2021-08-05"
"b","2021-08-06"
"b","2021-08-06"
"b","2021-08-08"
"b","2021-08-08"
"b","2021-08-09"
"b","2021-08-09"
"b","2021-08-10"
"b","2021-08-13"
"b","2021-08-16"
"b","2021-08-17"
"b","2021-08-21"
"b","2021-08-22"
"b","2021-08-22"
"b","2021-08-23"
"b","2021-08-27"
"b","2021-08-29"
"b","2021-08-30"
"b","2021-09-01"
"b","2021-09-03"
"b","2021-09-03"
"b","2021-09-06"
"b","2021-09-07"
"b","2021-09-09"
"b","2021-09-12"
"b","2021-09-30"
"b","2021-10-01"
"b","2022-07-11"
"b","2022-07-12"
"b","2022-07-24"
"b","2022-07-27"
"b","2022-07-29"
"b","2022-07-29"
"b","2022-07-31"
"b","2022-08-01"
"b","2022-08-03"
"b","2022-08-04"
"b","2022-08-06"
"b","2022-08-11"
"b","2022-08-12"
"b","2022-08-13"
"b","2022-08-15"
"b","2022-08-17"
"b","2022-08-19"
"b","2022-08-20"
"b","2022-08-23"
"b","2022-08-23"
"b","2022-08-26"
"b","2022-08-28"
"b","2022-08-28"
"b","2022-08-30"
"b","2022-08-31"
"b","2022-09-04"
"b","2022-09-08"
"b","2022-09-22"
"b","2022-09-27"
"b","2022-10-06"
"b","2023-07-15"
"b","2023-07-15"
"b","2023-07-20"
"b","2023-07-20"
"b","2023-07-21"
"b","2023-07-26"
"b","2023-07-28"
"b","2023-07-31"
"b","2023-08-06"
"b","2023-08-10"
"b","2023-08-12"
"b","2023-08-13"
"b","2023-08-14"
"b","2023-08-15"
"b","2023-08-22"
"b","2023-08-24"
"b","2023-08-28"
"b","2023-08-31"
"b","2023-09-01"
"b","2023-09-05"
"b","2023-09-05"
"b","2023-09-12"
"b","2023-09-16"
"b","2023-09-26"
"b","2023-09-28"
"c","2010-07-14"
"c","2010-07-16"
"c","2010-07-18"
"c","2010-07-21"
"c","2010-07-24"
"c","2010-07-28"
"c","2010-07-29"
"c","2010-07-31"
"c","2010-07-31"
"c","2010-08-01"
"c","2010-08-01"
"c","2010-08-01"
"c","2010-08-02"
"c","2010-08-06"
"c","2010-08-10"
"c","2010-08-11"
"c","2010-08-12"
"c","2010-08-13"
"c","2010-08-14"
"c","2010-08-20"
"c","2010-08-20"
"c","2010-08-21"
"c","2010-08-24"
"c","2010-08-24"
"c","2010-08-26"
"c","2010-08-26"
"c","2010-08-27"
"c","2010-08-28"
"c","2010-08-30"
"c","2010-08-31"
"c","2010-09-05"
"c","2010-09-05"
"c","2010-09-12"
"c","2010-09-12"
"c","2010-09-17"
"c","2010-09-23"
"c","2010-09-28"
"c","2010-09-29"
"c","2010-10-09"
"c","2011-07-10"
"c","2011-07-14"
"c","2011-07-19"
"c","2011-07-19"
"c","2011-07-23"
"c","2011-07-23"
"c","2011-08-01"
"c","2011-08-03"
"c","2011-08-03"
"c","2011-08-06"
"c","2011-08-10"
"c","2011-08-16"
"c","2011-08-16"
"c","2011-08-16"
"c","2011-08-16"
"c","2011-08-18"
"c","2011-08-19"
"c","2011-08-19"
"c","2011-08-20"
"c","2011-08-25"
"c","2011-08-27"
"c","2011-08-30"
"c","2011-08-31"
"c","2011-09-03"
"c","2011-09-04"
"c","2011-09-13"
"c","2011-09-14"
"c","2011-09-16"
"c","2011-09-18"
"c","2011-09-28"
"c","2012-06-24"
"c","2012-07-11"
"c","2012-07-24"
"c","2012-07-29"
"c","2012-07-30"
"c","2012-07-30"
"c","2012-08-01"
"c","2012-08-01"
"c","2012-08-03"
"c","2012-08-06"
"c","2012-08-07"
"c","2012-08-11"
"c","2012-08-11"
"c","2012-08-12"
"c","2012-08-13"
"c","2012-08-14"
"c","2012-08-15"
"c","2012-08-15"
"c","2012-08-15"
"c","2012-08-16"
"c","2012-08-17"
"c","2012-08-18"
"c","2012-08-20"
"c","2012-08-25"
"c","2012-08-25"
"c","2012-08-25"
"c","2012-09-01"
"c","2012-09-03"
"c","2012-09-06"
"c","2012-09-16"
"c","2012-09-27"
"c","2012-09-28"
"c","2013-07-08"
"c","2013-07-09"
"c","2013-07-25"
"c","2013-07-28"
"c","2013-07-31"
"c","2013-08-01"
"c","2013-08-04"
"c","2013-08-04"
"c","2013-08-05"
"c","2013-08-05"
"c","2013-08-06"
"c","2013-08-07"
"c","2013-08-08"
"c","2013-08-09"
"c","2013-08-10"
"c","2013-08-13"
"c","2013-08-18"
"c","2013-08-20"
"c","2013-08-22"
"c","2013-08-28"
"c","2013-08-30"
"c","2013-09-05"
"c","2013-09-06"
"c","2013-09-06"
"c","2013-09-06"
"c","2013-09-06"
"c","2013-09-07"
"c","2013-09-08"
"c","2013-09-08"
"c","2013-09-20"
"c","2013-09-28"
"c","2013-10-10"
"c","2014-07-13"
"c","2014-07-21"
"c","2014-07-24"
"c","2014-07-24"
"c","2014-07-25"
"c","2014-07-28"
"c","2014-08-02"
"c","2014-08-02"
"c","2014-08-04"
"c","2014-08-05"
"c","2014-08-08"
"c","2014-08-09"
"c","2014-08-09"
"c","2014-08-11"
"c","2014-08-12"
"c","2014-08-14"
"c","2014-08-14"
